id,lyrics,song,url,lyrics_vector,X,Y
0,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking faster and then we talk slow
Come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop
Put Van The Man on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you





One week in we let the story begin
We're going out on our first date
You and me are thrifty
So go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you",Shape Of You,https://www.directlyrics.com/ed-sheeran-shape-of-you-lyrics.html,"[[ 0.15669945 -0.17466484 -0.05371842  0.00572745 -0.22682674 -0.09417003
  -0.22819634  0.29343429 -0.14292967 -0.01921157 -0.08278772 -0.0124313
   0.06075338  0.0893707   0.04062036  0.08978476  0.21559301  0.08707923
  -0.23288319 -0.23789674  0.04249919 -0.13837969 -0.14252125  0.12905376
  -0.12429863 -0.11739745 -0.15036206  0.10667481 -0.22673064  0.00894416
  -0.00043401 -0.18742289 -0.21686418 -0.16298874 -0.09378625 -0.00276067
  -0.00440029 -0.11088033 -0.21766512  0.12953259 -0.11346006  0.08953077
   0.12495811  0.05194653  0.23050649 -0.18135522 -0.06072259  0.1259387
  -0.01199479  0.13376059]]",538.3008815419407,13.586039995344738
1,"When I was six years old I broke my leg
I was running from my brother and his friends
And tasted the sweet perfume of the mountain grass I rolled down
I was younger then, take me back to when I

Found my heart and broke it here
Made friends and lost them through the years
And I've not seen the roaring fields in so long, I know I've grown
But I can't wait to go home

I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill





Fifteen years old and smoking hand-rolled cigarettes
Running from the law through the backfields and getting drunk with my friends
Had my first kiss on a Friday night, I don't reckon that I did it right
But I was younger then, take me back to when

We found weekend jobs, when we got paid
We'd buy cheap spirits and drink them straight
Me and my friends have not thrown up in so long, oh how we've grown
But I can't wait to go home

I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill

One friend left to sell clothes
One works down by the coast
One had two kids but lives alone
One's brother overdosed
One's already on his second wife
One's just barely getting by
But these people raised me
And I can't wait to go home

And I'm on my way, I still remember
These old country lanes
When we did not know the answers
And I miss the way you make me feel, it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill",Castle On The Hill,https://www.directlyrics.com/ed-sheeran-castle-on-the-hill-lyrics.html,"[[ 0.15516588 -0.2052539  -0.06166429 -0.00568822 -0.20739968 -0.15273388
  -0.29727212  0.16533196 -0.09447986  0.02905147 -0.04169237 -0.10117333
   0.09838156  0.12865597 -0.03655142  0.12956953  0.26844594  0.1041263
  -0.1337267  -0.18891124  0.15011701 -0.08473351 -0.10775204  0.07690221
  -0.14609918 -0.08963858 -0.14066905  0.08381399 -0.22413118  0.05556536
   0.05686605 -0.13250865 -0.27376422 -0.17194268 -0.19529381 -0.00492913
  -0.06524355 -0.13149469 -0.17391934  0.17269918 -0.02945003  0.04801562
  -0.01189201  0.03793375  0.17038195 -0.26279467 -0.06023155  0.04404727
  -0.00443868  0.18724748]]",142.16600626445458,23.138359939962015
2,"You are the one, girl
You know that it's true
I'm feeling younger
Every time that I'm alone with you

We were sitting in a parked car
Stealing kisses in a front yard
We got questions we shouldn't had asked but

How would you feel
If I told you I loved you
It's just something that I want to do
I'm taking my time, spending my life
Falling deeper in love with you
So tell me that you love me too





In the summer, as the lilacs blew
Blood flows deeper than a river
Every moment that I spend with you

We were sat upon our best friend's roof
I had both of my arms around you
Watching the sunrise replace the moon

How would you feel
If I told you I loved you
It's just something that I want to do
I'm taking my time, spending my life
Falling deeper in love with you
So tell me that you love me too

We were sitting in a parked car
Stealing kisses in a front yard
We got questions we shouldn't had asked

How would you feel
If I told you I loved you
It's just something that I want to do
I'm taking my time, spending my life
Falling deeper in love with you
So tell me that you love me too
Tell me that you love me too
Tell me that you love me too",How Would You Feel,https://www.directlyrics.com/ed-sheeran-how-would-you-feel-lyrics.html,"[[ 0.12381338 -0.14309451 -0.06103253 -0.01595414 -0.27811772 -0.10511328
  -0.29462394  0.24940886 -0.06396914 -0.01165128 -0.04822342 -0.02971725
   0.0923963   0.15908122  0.01756212  0.06279243  0.28255489  0.13050207
  -0.170197   -0.26879096  0.13079742 -0.17206247 -0.08591342  0.09650948
  -0.10932736 -0.12763287 -0.10915961  0.05497201 -0.23654333  0.05657003
   0.00723859 -0.14332704 -0.29801816 -0.14506026 -0.10975728  0.03264221
  -0.04700446 -0.00848116 -0.23268358  0.11793634 -0.0672837  -0.00801275
   0.03545796  0.01002761  0.1884198  -0.17796138 -0.06730188  0.08362033
   0.01645892  0.12099747]]",-126.43668732571092,-44.39853171180294
3,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?

And darling I will be loving you 'til we're 70
And baby my heart could still fall as hard at 23
And I'm thinking 'bout how people fall in love in mysterious ways
Maybe just the touch of a hand
Well, me I fall in love with you every single day
And I just wanna tell you I am
So honey now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same





'Cause honey your soul could never grow old, it's evergreen
And baby your smile's forever in my mind and memory
I'm thinking 'bout how people fall in love in mysterious ways
Maybe it's all part of a plan
Well, I'll just keep on making the same mistakes
Hoping that you'll understand
But baby now

Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
Thinking out loud
That maybe we found love right where we are

So baby now
Take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are
Oh baby we found love right where we are

And we found love right where we are",Thinking Out Loud,https://www.directlyrics.com/ed-sheeran-thinking-out-loud-lyrics.html,"[[ 0.14006348 -0.17474946 -0.06922552 -0.01332745 -0.26787999 -0.13117738
  -0.29335341  0.24660774 -0.08900635 -0.01832362 -0.07692267 -0.05309704
   0.09424428  0.14252877  0.02747739  0.0870624   0.26169446  0.11648956
  -0.16885565 -0.24236758  0.115731   -0.12952422 -0.12042922  0.09610123
  -0.14747031 -0.1135575  -0.12809342  0.08770092 -0.2150629   0.02286889
   0.011484   -0.14132859 -0.26758844 -0.17113081 -0.11770745  0.02149956
  -0.03533985 -0.09413595 -0.20691825  0.1445307  -0.06517734  0.03087743
   0.03623781  0.03345519  0.19303308 -0.20282313 -0.05465196  0.09162752
   0.00309679  0.1386527 ]]",108.29906385216624,-12.314619606307904
4,"It's just another night, and I'm staring at the moon
I saw a shooting star and thought of you
I sang a lullaby by the waterside and knew
If you were here, I'd sing to you
You're on the other side, as this skyline splits in two
Miles away from seeing you
But I can see the stars from America
I wonder do you see them too?

So open your eyes and see, the way our horizons meet
And all of the lights will lead, into the night with me
And I know these scars will bleed
But both of our hearts believe
All of these stars will guide us home

I can hear your heart on the radio beat
They're playing ""Chasing Cars"" and I thought of us
Back to the time you were laying next to me
I looked across and fell in love
So I took your hand back through London's streets and knew
Everything led back to you
So can you see the stars over Amsterdam?
Hear the song our heart is beating to?





So open your eyes and see the way our horizons meet
And all of the lights will lead into the night with me
And I know these scars will bleed
But both of our hearts believe
All of these stars will guide us home

And all
And all
And all
I can see the stars from America",All Of The Stars,https://www.directlyrics.com/ed-sheeran-all-of-the-stars-lyrics.html,"[[ 0.182078   -0.19197103 -0.06347232 -0.02847903 -0.24241632 -0.14075673
  -0.31373078  0.19702978 -0.08792643  0.01359165 -0.04365243 -0.07981126
   0.09621338  0.14582439 -0.00565216  0.12780005  0.28419548  0.10640834
  -0.13093345 -0.21374179  0.1298058  -0.07223109 -0.10635462  0.09216312
  -0.18780118 -0.08466019 -0.13223578  0.10012658 -0.21933182  0.03988083
   0.02311196 -0.12932894 -0.24630038 -0.14480825 -0.15546171 -0.00392045
  -0.08104634 -0.11862669 -0.18843015  0.16447459 -0.03137683  0.04003349
  -0.00458646  0.04535932  0.16355537 -0.23743735 -0.05473629  0.05671457
   0.01101675  0.1715018 ]]",-123.36807128873308,50.674563296693805
5,"Things were all good yesterday
And then the devil took your memory
And if you fell to your death today
I hope that heaven is your resting place
I heard the doctors put your chest in pain
But then that could have been the medicine
And now you’re lying in the bed again
Either way I’ll cry with the rest of them.

And my father told me, “Son,
It’s not his fault he doesn’t know your face,
And you’re not the only one.
Although my grandma used to say, that he used to sing

Darling hold me in your arms the way you did last night
And we'll lie inside, a little while he wrote
I could look into your eyes until the sun comes up
And we’re wrapped in light, in life, in love.
Put your open lips on mine and slowly let them shut
For they’re designed to be together oh
With your body next to mine our hearts will beat as one
And we’re set alight, we’re afire love, love, love oh.





Things were all good yesterday
Then the devil took your breath away
And now we’re left here in the pain
Black suit, black tie standin' in the rain
And now my family is one again
Stapled together with the strangers and a friend.
Came to my mind I should paint it with a pen
Six years old I remember when.

And my father told me, “Son,
It’s not his fault he doesn’t know your face,
And you’re not the only one.
Although my grandma used to say, he used to say…

Darling hold me in your arms the way you did last night
And we'll lie inside, a little while he wrote
I could look into your eyes until the sun comes up
And we’re wrapped in light, in life, in love.
Put your open lips on mine and slowly let them shut
For they’re designed to be together oh
With your body next to mine our hearts will beat as one
And we’re set alight, we’re afire love, love, love oh

And my father and all of my family
Rise from the seats to sing hallelujah
And my mother and all of my family
Rise from the seats to sing halellujah
And my brother and all of my family
Rise from the seats to sing hallelujah
And all of my brothers and my sisters, yeah
And my father and all of my family
Rise from the seats to sing hallelujah
Hallelujah
Hallelujah
Hallelujah",Afire Love,https://www.directlyrics.com/ed-sheeran-afire-love-lyrics.html,"[[ 0.13780414 -0.19031096 -0.05350754 -0.0085046  -0.21861553 -0.11850294
  -0.28109276  0.21816792 -0.11403263  0.00733845 -0.05071182 -0.07703456
   0.09220048  0.11606113 -0.00075983  0.09658521  0.23766723  0.11510944
  -0.16929626 -0.2229947   0.1143651  -0.11124401 -0.10393877  0.0734497
  -0.13708089 -0.10795123 -0.15518832  0.09117634 -0.23976149  0.03804692
   0.02530196 -0.13898063 -0.2838046  -0.17594783 -0.155084    0.01492874
  -0.02807156 -0.12639934 -0.20831956  0.16404089 -0.06920616  0.06737675
   0.04887432  0.04338092  0.20789903 -0.24426514 -0.05440088  0.06739453
  -0.00248536  0.14898781]]",25.09051175942863,-56.284023527117014
6,"Bibia be ye ye
I lost my shoes last night
I don't know where I put my keys
I was tired and fell asleep beneath an oak tree
I bet my mother's proud of me from each scar upon my knuckle
And each grass upon my knee, and all I know is
I got a call and then threw up on his car seat
He kicked me out and then I walked in the rain
I tell myself in every way I won't be doing this again
And tomorrow's a brand new day

Someone told me always say what's on your mind
And I am only being hones wirh you, I, I get lonely
And make mistakes from time to time
So [?] make ya'(if things aren't getting working out)
Bibia be ye ye (everything will be alright)
Bibia be ye ye ye ye ye ye ye
Bibia be ye ye

I remember less and less and mostly things I regret
In my phone are several texts from girls I've never met
And in the pocket of my jeans are only coins and broken dreams
My heart is breaking at the [?] and I'm coming apart now
Now things are looking up, I'll find my shoes right down to the oak tree
And I'll get a bus straight into town
And spend the afternoon looking around for things that I left on the ground
And say you're with me, tomorrow's a brand new day





Someone told me always say what's on your mind
And I am only being hones with you, I, I get lonely
And make mistakes from time to time
So [?] (if things aren't going well)
Bibia be ye ye
My momma (be ye ye) (your problems will be solved)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
Someone told me always say what's on your mind
And I am only being hones wirh you, I, I get lonely
And make mistakes from time to time
So [?] (if things aren't going well)
Bibia be ye ye
Bibia be ye ye ye ye ye ye ye
Bibia be ye ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye
Bibia be ye ye ye ye ye ye ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye",Bibia Be Ye Ye,https://www.directlyrics.com/ed-sheeran-bibia-be-ye-ye-lyrics.html,"[[ 0.13953905 -0.21449216 -0.0326938   0.00628265 -0.18280804 -0.06663617
  -0.24091925  0.21806455 -0.14931071  0.03994617 -0.03198322 -0.06761124
   0.08932707  0.05119663 -0.04935706  0.10530379  0.21095106  0.0974786
  -0.19272031 -0.19656464  0.06837297 -0.12162634 -0.07433828  0.08128219
  -0.0714564  -0.10354769 -0.17500702  0.05676591 -0.27101156  0.05082465
   0.05414247 -0.17427543 -0.29871231 -0.18483628 -0.18143982 -0.03225147
  -0.00553367 -0.10536315 -0.2154779   0.14492527 -0.08789518  0.12456577
   0.09966379  0.03515054  0.23335724 -0.24296694 -0.06159232  0.06911843
  -0.02580094  0.15133218]]",30.13687390023971,-115.02224591825443
7,"Well, get up, up on the dancefloor tonight
I've got two left feet and a bottle of red wine
Making me feel like the beat and the bassline
Are in my blood, both [?] upon the waistline
Get on up, baby, dance to the rhythm of the music
Don't care what the DJ chooses
Get lost in the rhythm of me
Please don't close until we wanna leave it

You and I
We’re flying on an aeroplane tonight
We’re going somewhere where the sun is shining bright
Just close your eyes
And let’s pretend in the streets of Barcelona
Barcelona!
Barcelona!
Barcelona!

We’ll get up up on the dance floor moves
It’s Saturday night, I fell in love with the sparkle and the moonlight reflected in your beautiful eyes
I guess that is destiny making it right
And just like they do in the Mediterranean
Spin you around ,e again and again
You’re like something that God has sent me
I want you baby SOLAMENTE





You and I
We’re flying on an aeroplane tonight
We’re going somewhere where the sun is shining bright
Just close your eyes
And let’s pretend to dance in the streets of Barcelona
Barcelona!
Barcelona!
Barcelona!

So let’s pretend in the streets of Barcelona
Las ramblas, I’ll meet you dancing around la sagrada
Drinking sangria
Mi niña, te amo
Mamacita, rica, te adoro señorita
Nosotros vive la vida
Como es vivir en barcelona
Las ramblas, I’ll meet you
Come on and dance with me in barcelona
Drinking sangria
I just want to be in barcelona
Mamacita, rica, feel that summer breeze in barcelona
Nosotros vive la vida
Siempre vivir en barcelona",Barcelona,https://www.directlyrics.com/ed-sheeran-barcelona-lyrics.html,"[[ 0.141367   -0.1805141  -0.05475953 -0.00073854 -0.23454203 -0.14436243
  -0.2665067   0.2084244  -0.09491203 -0.00970104 -0.04892737 -0.06408571
   0.08923279  0.13799351  0.00338182  0.09951657  0.25696635  0.11671005
  -0.15222813 -0.23383282  0.12576878 -0.11887062 -0.11475679  0.08707409
  -0.1502829  -0.10724904 -0.14823169  0.09906776 -0.2273483   0.05060769
   0.03260886 -0.14394897 -0.27395561 -0.17127396 -0.16262594  0.01161113
  -0.05084017 -0.10444412 -0.20682505  0.16642591 -0.05921872  0.04635155
   0.01923949  0.05401486  0.19349591 -0.24660917 -0.05377509  0.06119834
   0.00410005  0.15063445]]",-10.456714824282592,-178.13090440896192
8,"I’ve been spinning out for time
Couple women by my side
I got sinnin' on my mind
Sipping on red wine
I’ve been sitting here for ages
Ripping out the pages
How'd I get so faded
How'd I get so faded
Oh
No no don’t leave me lonely now
If you love me how
You'll never learn
Ooh
Color crimson in my eyes
One or two could free my mind
This is how it ends
I feel the chemicals burn in my bloodstream

Fading out again
I feel the chemicals burn in my bloodstream
So tell me when it kicks in

I’ve been looking for a love
Thought I’d find her in a bottle
God make me another one
I’ll be feeling this tomorrow
Lord forgive me for the things I’ve done
I was never meant to hurt no one
I saw scars upon her, Broken hearted lover
Oh
No no don’t leave me lonely now
If you love me how
You'll never learn
Ooh
Color crimson in my eyes
One or two could free my mind
This is how it ends
I feel the chemicals burn in my bloodstream





Fading out again
I feel the chemicals burn in my bloodstream
So tell me when it kicks in

So tell me when it kicks in
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line

Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
So Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted",Bloodstream,https://www.directlyrics.com/ed-sheeran-bloodstream-lyrics.html,"[[ 0.15116216 -0.20493533 -0.08947498 -0.00038919 -0.26946113 -0.13093996
  -0.26182672  0.21541184 -0.08577698  0.01178289 -0.08448176 -0.07953443
   0.12333624  0.11934239  0.02907014  0.08844412  0.25271654  0.08110726
  -0.17563777 -0.23401214  0.12505901 -0.12174064 -0.13512486  0.09427639
  -0.13448483 -0.1139084  -0.10448793  0.06388195 -0.22997019  0.03029396
   0.0319934  -0.14121434 -0.27809593 -0.18735646 -0.12665404  0.02437717
  -0.04161495 -0.10928535 -0.18621732  0.16315906 -0.03594564  0.07262459
   0.00341743  0.02643162  0.17829888 -0.21376796 -0.05603036  0.07678704
  -0.02655935  0.17409876]]",-74.16787765107082,79.29772530172275
9,"Ah-la-la-la-la
Ah-la-la-la-la
I met this girl late last year
She said don’t you worry if I disappear
I told her I’m not really looking for another mistake
I called an old friend thinking that the trouble would wait
But then I jump right in
A week later return
I reckon she was only looking for a lover to burn
But I gave her my time for two or three nights
Then I put it on pause until the moment was right
I went away for months until our paths crossed again
She told me I was never looking for a friend
Maybe you could swing by my room around 10
Baby bring a lemon and a bottle of gin
We’ll be in between the sheets until the late AM
Baby if you wanted me then you should’ve just said
She’s singing
Ah-la-la-la-la
Don’t fuck with my love
That heart is so cold
All over my arm
I don’t wanna know that babe
Ah-la-la-la-la
Don’t fuck with my love
I told her she knows
Take aim and reload
I don’t wanna know that babe
Ah-la-la-la-la
For a couple weeks I
Only want to see her
We drink away the days with a take away pizza
Before a text message was the only way to reach her
Now she’s staying at my place and loves the way I treat her
Singing out Aretha
All over the track like a feature
Never want to sleep I guess that I don’t want to either
But me and her we make money the same way
Four cities, two planes the same day
Those shows have never been what it’s about
But maybe we’ll go together and just figure it out
I’d rather put on a film with you and sit on the couch
But we should get on a plane
Or we’ll be missing it now
Wish I’d have written it down
The way that things played out
When she was kissing him
How? I was confused about
She should figure it out while I’m sat here singing
Ah-la-la-la-la
Don’t fuck with my love
That heart is so cold
All over my arm
I don’t wanna know that babe
Ah-la-la-la-la
Don’t fuck with my love
I told her she knows
Take aim and reload
I don’t wanna know that babe
Ah-la-la-la-la
*Knock knock knock* on my hotel door
I don’t even know if she knows what for
She was crying on my shoulder
I already told ya
Trust and respect is what we do this for
I never intended to be next
But you didn’t need to take him to bed that’s all
And I never saw him as a threat
Until you disappeared with him to have sex of course
It’s not like we were both on tour
We were staying on the same fucking hotel floor
And I wasn’t looking for a promise or commitment
But it was never just fun and I thought you were different
This is not the way you realize what you wanted
It’s a bit too much, too late if I’m honest
All this time God knows I’m singing
Ah-la-la-la-la
Don’t fuck with my love
That heart is so cold
All over my arm
I don’t wanna know that babe
Ah-la-la-la-la
Don’t fuck with my love
I told her she knows
Take aim and reload
I don’t wanna know that babe
Ah-la-la-la-la",Don't,https://www.directlyrics.com/ed-sheeran-dont-lyrics.html,"[[  1.52799979e-01  -2.04920158e-01  -6.06077947e-02  -1.01241348e-02
   -2.63445765e-01  -1.28151208e-01  -3.20205092e-01   2.07524881e-01
   -9.75142792e-02   2.96695232e-02  -2.79799365e-02  -6.52335584e-02
    1.04378231e-01   1.31433234e-01  -3.28111276e-02   9.33394209e-02
    2.57295340e-01   1.39886796e-01  -1.26917303e-01  -2.17908159e-01
    1.39569193e-01  -1.38273910e-01  -7.29651228e-02   8.09451416e-02
   -1.27844766e-01  -8.88104737e-02  -1.04558051e-01   6.29649237e-02
   -2.38178745e-01   7.39949942e-02   3.79326306e-02  -1.49861813e-01
   -2.80353129e-01  -1.43289968e-01  -1.63306996e-01  -1.09000561e-04
   -5.86592145e-02  -5.52794263e-02  -2.28868872e-01   1.58039957e-01
   -5.31515218e-02   1.99265573e-02   1.38646113e-02   2.57463325e-02
    1.81540832e-01  -2.23974302e-01  -4.45292704e-02   5.06469384e-02
    1.93085410e-02   1.38686746e-01]]",-21.125157786125328,-136.81883583492368
